Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
988¿VariableDeclarator¿¿1668¿v73¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
989¿MemberExpression¿¿1668¿¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿MemberExpression
990¿Identifier¿¿1668¿child_process¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
991¿Identifier¿¿1668¿exec¿¿¿{"start":{"line":11,"column":41},"end":{"line":11,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
992¿VariableDeclarator¿¿1668¿exec¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
993¿CallExpression¿¿1668¿¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
994¿Identifier¿¿1668¿promisify¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
995¿Identifier¿¿1668¿v73¿¿¿¿¿Identifier
996¿VariableDeclarator¿¿1668¿v74¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
997¿CallExpression¿¿1668¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
998¿MemberExpression¿¿1668¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿MemberExpression
999¿Identifier¿¿1668¿clientID¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1000¿Identifier¿¿1668¿match¿¿¿{"start":{"line":14,"column":18},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
1001¿Literal¿object¿1668¿¿/^[0-9a-z]+$/¿¿{"start":{"line":14,"column":24},"end":{"line":14,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
